weight,num,max
48.3,12,8.59E-12
48.4,12,8.56E-12
48.5,12,8.53E-12
48.6,12,8.5E-12
48.7,12,8.46E-12
48.8,12,8.43E-12
48.9,12,8.4E-12
49,12,8.37E-12
49.1,12,8.34E-12
49.2,12,8.31E-12
49.3,12,8.28E-12
49.4,12,8.25E-12
49.5,12,8.22E-12
49.6,12,8.19E-12
49.7,12,8.16E-12
49.8,12,8.13E-12
49.9,12,8.1E-12
50,12,8.07E-12
50.1,12,8.04E-12
50.2,12,8.01E-12
50.3,12,7.99E-12
50.4,12,7.96E-12
50.5,12,7.93E-12
50.6,12,7.9E-12
50.7,12,7.87E-12
50.8,12,7.84E-12
50.9,12,7.81E-12
51,12,7.78E-12
51.1,12,7.76E-12
51.2,12,7.73E-12
51.3,12,7.7E-12
51.4,12,7.67E-12
51.5,12,7.64E-12
51.6,12,7.62E-12
51.7,12,7.59E-12
51.8,12,7.56E-12
51.9,12,7.53E-12
52,12,7.51E-12
52.1,12,7.48E-12
52.2,12,7.45E-12
52.3,12,7.42E-12
52.4,12,7.4E-12
52.5,12,7.37E-12
52.6,12,7.34E-12
52.7,12,7.32E-12
52.8,12,7.29E-12
52.9,12,7.26E-12
53,12,7.24E-12
53.1,12,7.21E-12
53.2,12,7.18E-12
53.3,12,7.16E-12
53.4,12,7.13E-12
53.5,12,7.11E-12
53.6,12,7.08E-12
53.7,12,7.05E-12
53.8,8,7.03E-12
53.9,8,7E-12
54,8,6.98E-12
54.1,8,6.95E-12
54.2,8,6.93E-12
54.3,8,6.9E-12
54.4,8,6.88E-12
54.5,8,6.85E-12
54.6,7,6.83E-12
54.7,7,6.8E-12
54.8,7,6.78E-12
54.9,7,6.75E-12
55,5,6.73E-12
55.1,5,6.7E-12
55.2,5,6.68E-12
55.3,5,6.65E-12
55.4,5,6.63E-12
55.5,4,6.6E-12
55.6,4,6.58E-12
55.7,4,6.56E-12
55.8,4,6.53E-12
55.9,4,6.51E-12
56,4,6.48E-12
56.1,4,6.46E-12
56.2,4,6.44E-12
56.3,4,6.41E-12
56.4,4,6.39E-12
56.5,4,6.37E-12
56.6,4,6.34E-12
56.7,4,6.32E-12
56.8,4,6.3E-12
56.9,4,6.27E-12
57,4,6.25E-12
57.1,4,6.23E-12
57.2,4,6.2E-12
57.3,4,6.18E-12
57.4,4,6.16E-12
57.5,4,6.14E-12
57.6,4,6.11E-12
57.7,4,6.09E-12
57.8,4,6.07E-12
57.9,4,6.04E-12
58,4,6.02E-12
58.1,4,6E-12
58.2,4,5.98E-12
58.3,4,5.96E-12
58.4,4,5.93E-12
58.5,4,5.91E-12
58.6,4,5.89E-12
58.7,4,5.87E-12
